distance,angle
10.6749,0.8022
9.7741,0.7595
9.4243,0.8169
8.5437,0.7854
9.9291,0.7831
11.137,0.878
9.3148,0.7478
10.6006,0.7499
9.6564,0.8228
9.3447,0.7907
8.0127,0.6901
9.9811,0.7674
9.5575,0.8228
10.0376,0.8199
9.6061,0.7581
10.3315,0.7808
10.0518,0.7252
8.5472,0.8327
10.157,0.7849
10.6603,0.764
10.5691,0.7812
10.1438,0.8222
10.9444,0.8322
8.7224,0.7669
10.1081,0.844
11.0545,0.823
10.1518,0.8091
9.8426,0.7818
10.1764,0.7885
10.1739,0.766
10.6085,0.7646
9.1124,0.7809
9.4005,0.7304
9.7745,0.7932
10.3567,0.7964
9.1088,0.7968
10.8122,0.8269
9.7825,0.8476
11.1135,0.795
11.1276,0.7628
9.108,0.7172
9.9421,0.769
10.5661,0.7561
10.5837,0.7906
10.1594,0.773
7.7202,0.7725
10.377,0.7968
10.1268,0.7701
10.1586,0.7608
11.7919,0.7514
10.3447,0.803
9.6184,0.7665
10.5561,0.7636
10.5854,0.8146
9.0456,0.7851
10.3011,0.835
10.2241,0.7979
9.0299,0.7974
9.209,0.7275
11.2561,0.7448
10.6419,0.7211
10.5823,0.7995
9.9858,0.7769
10.6308,0.7751
9.5308,0.7998
10.6812,0.7969
9.6307,0.821
10.2505,0.7142
10.5774,0.7444
9.2125,0.7391
9.1169,0.7632
11.3252,0.7983
10.1971,0.7361
9.6331,0.8312
10.128,0.7611
11.2103,0.7928
8.3416,0.7616
10.8495,0.8047
11.1683,0.7778
9.8743,0.7832
9.9441,0.7319
8.6697,0.7935
8.3306,0.7438
10.381,0.832
9.4362,0.7789
10.106,0.7789
9.7265,0.7558
11.8804,0.8295
10.0583,0.7827
9.3844,0.7599
7.9333,0.8036
10.2428,0.8578
9.1491,0.7847
10.1719,0.7571
10.0066,0.7423
9.934,0.7313
9.4364,0.7893
10.259,0.7813
9.7266,0.757
10.1885,0.7594
